Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
13.40000000	0.00064495	0.00066964	0.00137576	0.00089678	0.78178710	1.72633291	0.95391282	0.00127679	-0.00057970	-0.00184450	-0.00038247	
13.50000000	0.00077120	0.00173389	0.00156007	0.00135505	0.78166861	1.72612495	0.95410760	0.00115831	-0.00078767	-0.00164971	-0.00042636	
13.60000000	0.00068033	0.00074624	0.00149052	0.00097237	0.78110096	1.72677166	0.95530834	0.00059066	-0.00014096	-0.00044898	0.00000024	
13.70000000	0.00126001	0.00111172	0.00056017	0.00097730	0.78154073	1.72809052	0.95599031	0.00103043	0.00117791	0.00023300	0.00081378	
13.80000000	0.00119578	0.00106498	0.00075964	0.00100680	0.78188383	1.72773378	0.95551803	0.00137352	0.00082116	-0.00023928	0.00065180	
13.90000000	0.00068677	0.00119107	0.00117017	0.00101601	0.77995033	1.72660026	0.95611218	-0.00055997	-0.00031236	0.00035486	-0.00017249	
14.00000000	0.00140378	0.00137881	0.00148279	0.00142180	0.78082489	1.72679455	0.95567514	0.00031458	-0.00011807	-0.00008217	0.00003812	
14.10000000	0.00070254	0.00094510	0.00193533	0.00119433	0.78066087	1.72552209	0.95445493	0.00015057	-0.00139052	-0.00130238	-0.00084744	
14.20000000	0.00155765	0.00045532	0.00098133	0.00099810	0.78200088	1.72772750	0.95515969	0.00149057	0.00081488	-0.00059762	0.00056928	
14.30000000	0.00119137	0.00246443	0.00025631	0.00130404	0.78171297	1.72722986	0.95526361	0.00120267	0.00031724	-0.00049371	0.00034207	
14.40000000	0.00156917	0.00103603	0.00109215	0.00123245	0.78243874	1.72853578	0.95540512	0.00192844	0.00162316	-0.00035220	0.00106647	
14.50000000	0.00142380	0.00113509	0.00012314	0.00089401	0.78128800	1.72760327	0.95576396	0.00077770	0.00069066	0.00000665	0.00049167	
14.60000000	0.00127140	0.00108178	0.00155218	0.00130179	0.78155509	1.72690167	0.95495852	0.00104479	-0.00001095	-0.00079879	0.00007835	
14.70000000	0.00112389	0.00223164	0.00053353	0.00129635	0.78186370	1.72799811	0.95582776	0.00135339	0.00108550	0.00007045	0.00083645	
14.80000000	0.00095855	0.00180060	0.00207576	0.00161163	0.78108864	1.72639780	0.95512716	0.00057834	-0.00051481	-0.00063015	-0.00018888	
14.90000000	0.00147824	0.00151431	0.00094831	0.00131362	0.78268002	1.72761603	0.95454379	0.00216971	0.00070342	-0.00121352	0.00055320	
15.00000000	0.00050205	0.00071043	0.00115802	0.00079016	0.78140563	1.72638658	0.95440062	0.00089533	-0.00052603	-0.00135670	-0.00032913	
15.10000000	0.00050205	0.00071043	0.00115802	0.00079016	0.78140563	1.72638658	0.95440062	0.00089533	-0.00052603	-0.00135670	-0.00032913	
15.20000000	0.00108136	0.00137140	0.00173955	0.00139744	0.78086965	1.72570869	0.95441814	0.00035935	-0.00120393	-0.00133918	-0.00072792	
15.30000000	0.00108136	0.00137140	0.00173955	0.00139744	0.78086965	1.72570869	0.95441814	0.00035935	-0.00120393	-0.00133918	-0.00072792	
15.40000000	0.00171462	0.00089196	0.00092535	0.00117731	0.78218239	1.72827781	0.95554378	0.00167208	0.00136520	-0.00021353	0.00094125	
15.50000000	0.00125692	0.00150237	0.00182541	0.00152824	0.78063113	1.72714387	0.95587995	0.00012083	0.00023126	0.00012264	0.00015824	
15.60000000	0.00046551	0.00092594	0.00105438	0.00081528	0.78102021	1.72629974	0.95479515	0.00050990	-0.00061288	-0.00096216	-0.00035505	
15.70000000	0.00108406	0.00096291	0.00085151	0.00096616	0.78087891	1.72781723	0.95630900	0.00036860	0.00090461	0.00055169	0.00060830	
15.80000000	0.00108406	0.00096291	0.00085151	0.00096616	0.78087891	1.72781723	0.95630900	0.00036860	0.00090461	0.00055169	0.00060830	
15.90000000	0.00172750	0.00180681	0.00085381	0.00146270	0.78202383	1.72888997	0.95644134	0.00151352	0.00197736	0.00068402	0.00139163	
16.00000000	0.00172750	0.00180681	0.00085381	0.00146270	0.78202383	1.72888997	0.95644134	0.00151352	0.00197736	0.00068402	0.00139163	
16.10000000	0.00189193	0.00015433	0.00108820	0.00104482	0.78238497	1.72788127	0.95479402	0.00187467	0.00096866	-0.00096329	0.00062668	
16.20000000	0.00172606	0.00131918	0.00118280	0.00140935	0.78127989	1.72733859	0.95549746	0.00076958	0.00042597	-0.00025985	0.00031190	
16.30000000	0.00130810	0.00107725	0.00115100	0.00117879	0.78076458	1.72701928	0.95563739	0.00025428	0.00010666	-0.00011993	0.00008034	
16.40000000	0.00195561	0.00111310	0.00085365	0.00130745	0.77965291	1.72655069	0.95614777	-0.00085739	-0.00036193	0.00039045	-0.00027629	
16.50000000	0.00056331	0.00196837	0.00185303	0.00146157	0.77902750	1.72550858	0.95600615	-0.00148280	-0.00140403	0.00024884	-0.00087933	
16.60000000	0.00127322	0.00210053	0.00080158	0.00139178	0.78135529	1.72732044	0.95558652	0.00084498	0.00040783	-0.00017079	0.00036067	
16.70000000	0.00107792	0.00111059	0.00135505	0.00118119	0.78142255	1.72731973	0.95528498	0.00091224	0.00040712	-0.00047233	0.00028234	
16.80000000	0.00112967	0.00244939	0.00080455	0.00146120	0.77984624	1.72671365	0.95650991	-0.00066406	-0.00019896	0.00075260	-0.00003681	
16.90000000	0.00128843	0.00213976	0.00221275	0.00188031	0.77997091	1.72518396	0.95480952	-0.00053940	-0.00172866	-0.00094779	-0.00107195	
17.00000000	0.00128843	0.00213976	0.00221275	0.00188031	0.77997091	1.72518396	0.95480952	-0.00053940	-0.00172866	-0.00094779	-0.00107195	
17.10000000	0.00185270	0.00234429	0.00137740	0.00185813	0.78025103	1.72683487	0.95609731	-0.00025927	-0.00007774	0.00034000	0.00000100	
17.20000000	0.00200723	0.00148846	0.00163205	0.00170925	0.78120108	1.72657567	0.95478266	0.00069078	-0.00033695	-0.00097465	-0.00020694	
17.30000000	0.00154524	0.00169467	0.00452213	0.00258734	0.78054848	1.72359208	0.95258311	0.00003818	-0.00332053	-0.00317420	-0.00215219	
17.40000000	0.00142893	0.00203821	0.00161515	0.00169410	0.78178369	1.72759233	0.95541817	0.00127339	0.00067971	-0.00033914	0.00053799	
17.50000000	0.00183211	0.00166693	0.00136217	0.00162040	0.78125945	1.72733428	0.95568152	0.00074914	0.00042166	-0.00007579	0.00036500	
17.60000000	0.00175649	0.00340060	0.00045035	0.00186915	0.78123547	1.72821332	0.95691234	0.00072516	0.00130071	0.00115502	0.00106030	
