Time (s)	frameDisplacement_B1 (mm)	frameDisplacement_B2 (mm)	frameDisplacement_B3 (mm)	Avg. frameDisplacement (mm)	blobDistance_B12 (mm)	blobDistance_B13 (mm)	blobDistance_B23 (mm)	blobDisplacement_B12 (mm)	blobDisplacement_B13 (mm)	blobDisplacement_B23 (mm)	Avg. blobDisplacement (mm)
123.01000000	0.47405797	0.41472116	0.33687776	0.40855230	0.83822262	1.86444559	1.03364900	0.05771231	0.13753298	0.07789169	0.09104566	
124.01000000	0.48045332	0.42120893	0.34018828	0.41395018	0.83785063	1.86733330	1.03678871	0.05734033	0.14042068	0.08103139	0.09293080	
125.01000000	0.48880393	0.42542022	0.33932106	0.41784840	0.84193220	1.87678687	1.04187670	0.06142189	0.14987425	0.08611939	0.09913851	
126.01000000	0.49510568	0.43028125	0.34299629	0.42279441	0.84322453	1.87931620	1.04301964	0.06271423	0.15240359	0.08726233	0.10079338	
127.01000000	0.50268020	0.43529864	0.34512510	0.42770131	0.84536943	1.88460062	1.04583376	0.06485913	0.15768800	0.09007645	0.10420786	
128.01000000	0.51048878	0.43916996	0.34532885	0.43166253	0.84917647	1.89243773	1.04954006	0.06866616	0.16552511	0.09378275	0.10932467	
129.01000000	0.51734954	0.44397010	0.34646000	0.43592655	0.85124029	1.89819491	1.05317535	0.07072999	0.17128229	0.09741804	0.11314344	
130.01000000	0.52600061	0.44958542	0.34926313	0.44161639	0.85426759	1.90382978	1.05592704	0.07375728	0.17691716	0.10016973	0.11694806	
131.01000000	0.53340422	0.45476683	0.34925315	0.44580806	0.85631811	1.91127595	1.06106357	0.07580781	0.18436333	0.10530625	0.12182580	
132.01000000	0.54116024	0.45951473	0.35069675	0.45045724	0.85948044	1.91765452	1.06437497	0.07897013	0.19074190	0.10861766	0.12610990	
133.01000000	0.54888593	0.46323289	0.35216600	0.45476161	0.86323426	1.92395576	1.06659640	0.08272395	0.19704315	0.11083909	0.13020206	
134.01000000	0.55518942	0.46775577	0.35372701	0.45889073	0.86462885	1.92874455	1.06948924	0.08411854	0.20183193	0.11373192	0.13322747	
135.01000000	0.56061518	0.47244064	0.35492721	0.46266101	0.86535955	1.93290284	1.07289869	0.08484924	0.20599022	0.11714137	0.13599361	
136.01000000	0.57020443	0.47838628	0.35408629	0.46755900	0.86879761	1.94344127	1.07962307	0.08828731	0.21652865	0.12386575	0.14289390	
137.01000000	0.57733439	0.48199197	0.35553916	0.47162184	0.87225438	1.94921998	1.08168003	0.09174408	0.22230737	0.12592271	0.14665805	
138.01000000	0.58539556	0.48579110	0.35443143	0.47520603	0.87660589	1.95841960	1.08621599	0.09609558	0.23150698	0.13045868	0.15268708	
