Project Title : exSitu_35Zr39Ti25Nb 
Material : 35Zr39Ti25Nb 
Informations :  
Date : 17/05/2019 
Type test : Tension / Compression 
Control Mod : Manual 
Section : Rectangular 
Width(mm) : 2.210000 
Total Length(mm) : 50.000000 
Gauge Length(mm) : 5.100000 
Thickness(mm) : 0.950000 
====================================================================================================
Time (s) 	Speed (µm/s) 	Traverse Speed (µm/s) 	Displacement (µm) 	Force (N) 	Real Speed (µm/s) 	Cal. Force (V) 	Stress (Mpa) 	Elongation (%) 	Speed Controller Input Voltage (V) 	
13.300000 	5.000000 	5.000000 	-543.200000 	5.087706 	0.006253 	2.462557 	2.423294 	-10.650980 	1.377600 	
13.400000 	5.000000 	5.000000 	-543.200000 	4.959527 	0.006700 	2.462450 	2.362242 	-10.650980 	1.377600 	
13.500000 	5.000000 	5.000000 	-543.200000 	4.634151 	0.006840 	2.462179 	2.207264 	-10.650980 	1.377600 	
13.600000 	5.000000 	5.000000 	-543.200000 	4.772189 	0.007446 	2.462294 	2.273012 	-10.650980 	1.377600 	
13.700000 	5.000000 	5.000000 	-543.200000 	4.713030 	0.008853 	2.462244 	2.244834 	-10.650980 	1.377600 	
13.800000 	5.000000 	5.000000 	-543.200000 	4.752470 	0.008201 	2.462277 	2.263620 	-10.650980 	1.377600 	
13.900000 	5.000000 	5.000000 	-543.200000 	5.008827 	0.008201 	2.462491 	2.385724 	-10.650980 	1.377600 	
14.000000 	5.000000 	5.000000 	-543.200000 	4.998967 	0.007549 	2.462483 	2.381027 	-10.650980 	1.377600 	
14.100000 	5.000000 	5.000000 	-543.200000 	4.890508 	0.006505 	2.462392 	2.329368 	-10.650980 	1.377600 	
14.200000 	5.000000 	5.000000 	-543.200000 	5.008827 	0.007670 	2.462491 	2.385724 	-10.650980 	1.377600 	
14.300000 	5.000000 	5.000000 	-543.200000 	5.127146 	0.007176 	2.462589 	2.442079 	-10.650980 	1.377600 	
14.400000 	5.000000 	5.000000 	-543.200000 	4.929948 	0.007475 	2.462425 	2.348153 	-10.650980 	1.377600 	
14.500000 	5.000000 	5.000000 	-543.200000 	4.998967 	0.007261 	2.462483 	2.381027 	-10.650980 	1.377600 	
14.600000 	5.000000 	5.000000 	-543.200000 	5.028547 	0.006907 	2.462507 	2.395116 	-10.650980 	1.377600 	
14.700000 	5.000000 	5.000000 	-543.200000 	4.979247 	0.006655 	2.462466 	2.371635 	-10.650980 	1.377600 	
14.800000 	5.000000 	5.000000 	-543.200000 	5.107426 	0.006077 	2.462573 	2.432687 	-10.650980 	1.377600 	
14.900000 	5.000000 	5.000000 	-543.200000 	4.998967 	0.007540 	2.462483 	2.381027 	-10.650980 	1.377600 	
15.000000 	5.000000 	5.000000 	-543.200000 	4.900368 	0.007381 	2.462400 	2.334064 	-10.650980 	1.377600 	
15.100000 	5.000000 	5.000000 	-543.200000 	4.939808 	0.007475 	2.462433 	2.352850 	-10.650980 	1.377600 	
15.200000 	5.000000 	5.000000 	-543.200000 	4.870788 	0.009449 	2.462376 	2.319975 	-10.650980 	1.377600 	
15.300000 	5.000000 	5.000000 	-543.200000 	4.870788 	0.007893 	2.462376 	2.319975 	-10.650980 	1.377600 	
15.400000 	5.000000 	5.000000 	-543.200000 	4.880648 	0.008648 	2.462384 	2.324672 	-10.650980 	1.377600 	
15.500000 	5.000000 	5.000000 	-543.200000 	4.969387 	0.008639 	2.462458 	2.366938 	-10.650980 	1.377600 	
15.600000 	5.000000 	5.000000 	-543.200000 	5.097566 	0.006953 	2.462565 	2.427990 	-10.650980 	1.377600 	
15.700000 	5.000000 	5.000000 	-543.200000 	5.225744 	0.007559 	2.462672 	2.489042 	-10.650980 	1.377600 	
15.800000 	5.000000 	5.000000 	-543.200000 	5.206025 	0.005267 	2.462655 	2.479650 	-10.650980 	1.377600 	
15.900000 	5.000000 	5.000000 	-543.200000 	4.890508 	0.006077 	2.462392 	2.329368 	-10.650980 	1.377600 	
16.000000 	5.000000 	5.000000 	-543.200000 	4.870788 	0.005704 	2.462376 	2.319975 	-10.650980 	1.377600 	
16.100000 	5.000000 	5.000000 	-543.200000 	4.880648 	0.005257 	2.462384 	2.324672 	-10.650980 	1.377600 	
16.200000 	5.000000 	5.000000 	-543.200000 	4.939808 	0.007092 	2.462433 	2.352850 	-10.650980 	1.377600 	
16.300000 	5.000000 	5.000000 	-543.200000 	5.107426 	0.006068 	2.462573 	2.432687 	-10.650980 	1.377600 	
16.400000 	5.000000 	5.000000 	-543.200000 	5.186305 	0.007018 	2.462639 	2.470257 	-10.650980 	1.377600 	
16.500000 	5.000000 	5.000000 	-543.200000 	5.206025 	0.007997 	2.462655 	2.479650 	-10.650980 	1.377600 	
16.600000 	5.000000 	5.000000 	-543.200000 	5.235604 	0.007111 	2.462680 	2.493739 	-10.650980 	1.377600 	
16.700000 	5.000000 	5.000000 	-543.200000 	4.880648 	0.007167 	2.462384 	2.324672 	-10.650980 	1.377600 	
16.800000 	5.000000 	5.000000 	-543.200000 	4.722890 	0.006869 	2.462253 	2.249531 	-10.650980 	1.377600 	
16.900000 	5.000000 	5.000000 	-543.200000 	4.791909 	0.006840 	2.462310 	2.282405 	-10.650980 	1.377600 	
17.000000 	5.000000 	5.000000 	-543.200000 	4.772189 	0.006700 	2.462294 	2.273012 	-10.650980 	1.377600 	
17.100000 	5.000000 	5.000000 	-543.200000 	5.058126 	0.007148 	2.462532 	2.409205 	-10.650980 	1.377600 	
17.200000 	5.000000 	5.000000 	-543.200000 	5.255324 	0.006645 	2.462696 	2.503131 	-10.650980 	1.377600 	
17.300000 	5.000000 	5.000000 	-543.200000 	5.038406 	0.005546 	2.462515 	2.399813 	-10.650980 	1.377600 	
17.400000 	5.000000 	5.000000 	-543.200000 	4.939808 	0.005527 	2.462433 	2.352850 	-10.650980 	1.377600 	
17.500000 	5.000000 	5.000000 	-543.200000 	4.910228 	0.004810 	2.462409 	2.338761 	-10.650980 	1.377600 	
17.600000 	5.000000 	5.000000 	-543.200000 	4.693310 	0.006058 	2.462228 	2.235442 	-10.650980 	1.377600 	
17.700000 	5.000000 	5.000000 	-543.200000 	4.565132 	0.006133 	2.462121 	2.174390 	-10.650980 	1.377600 	
17.800000 	5.000000 	5.000000 	-543.200000 	4.614431 	0.006813 	2.462162 	2.197871 	-10.650980 	1.377600 	
17.900000 	5.000000 	5.000000 	-543.200000 	4.644011 	0.007540 	2.462187 	2.211960 	-10.650980 	1.377600 	
18.000000 	5.000000 	5.000000 	-543.200000 	4.693310 	0.007261 	2.462228 	2.235442 	-10.650980 	1.377600 	
18.100000 	5.000000 	5.000000 	-543.200000 	4.870788 	0.007633 	2.462376 	2.319975 	-10.650980 	1.377600 	
18.200000 	5.000000 	5.000000 	-543.200000 	4.920088 	0.008220 	2.462417 	2.343457 	-10.650980 	1.377600 	
18.300000 	5.000000 	5.000000 	-543.200000 	4.989107 	0.008742 	2.462474 	2.376331 	-10.650980 	1.377600 	
18.400000 	5.000000 	5.000000 	-543.200000 	4.998967 	0.008788 	2.462483 	2.381027 	-10.650980 	1.377600 	
